"","title","amount","namedep","transaction","view","city","date","page"
"26","
                      I Paid Rs. 6000 to Municipal Services in Dharmapuri.
                    ","Paid INR 6,000
                        ","Municipal Services","Birth Certificate","62 views","Pune
                      , Maharashtra","November 03, 2015",3
"27","
                      I Paid Rs. 100 to Others in Jhunjhunun.
                    ","Paid INR 100
                        ","Others","Birth Certificate","69 views","Dharmapuri
                      , Tamil Nadu","November 03, 2015",3
"28","
                      I Paid Rs. 10 to Others in Achhnera.
                    ","Paid INR 10
                        ","Others","Others","81 views","Jhunjhunun
                      , Rajasthan","November 03, 2015",3
"29","
                      I Paid Rs. 500 to Municipal Services in Nellore.
                    ","Paid INR 500
                        ","Municipal Services","Others","79 views","Achhnera
                      , Uttar Pradesh","November 03, 2015",3
"30","
                      I Paid Rs. 788 to Municipal Services in Abohar.
                    ","Paid INR 788
                        ","Municipal Services","Birth Certificate","94 views","Nellore
                      , Andhra Pradesh","November 03, 2015",3
"31","
                      I Paid Rs. 788 to Municipal Services in Abohar.
                    ","Paid INR 788
                        ","Municipal Services","Birth Certificate","97 views","Abohar
                      , Punjab","November 03, 2015",4
"32","
                      LAKSHMINARAYAN THE MOST CORRUPT IN KARNATAKA STATE POLLUTION CONTROL BOARD
                    ","Paid INR 25,000
                        ","Others","Others","121 views","Bangalore
                      , Karnataka","November 03, 2015",4
"33","
                      Paid Bribe to Get Degree
                    ","Paid INR 20,000
                        ","Education","School or College Related Activities","105 views","New Delhi
                      , Delhi","November 03, 2015",4
"34","
                      I Paid Rs. 20 to Municipal Services in Abhayapuri.
                    ","Paid INR 20
                        ","Municipal Services","Birth Certificate","90 views","Abhayapuri
                      , Assam","November 03, 2015",4
"35","
                      I Paid Rs. 15000 to Stamps and Registration in Nagpur.
                    ","Paid INR 15,000
                        ","Stamps and Registration","Marriage Certificate","115 views","Nagpur
                      , Maharashtra","November 03, 2015",4
"36","
                      I Paid Rs. 111 to Municipal Services in Solapur.
                    ","Paid INR 111
                        ","Municipal Services","Birth Certificate","80 views","Solapur
                      , Maharashtra","November 03, 2015",4
"37","
                      I Paid Rs. 344 to Municipal Services in Almora.
                    ","Paid INR 344
                        ","Municipal Services","Birth Certificate","66 views","Almora
                      , Uttarakhand","November 03, 2015",4
"38","
                      Paid Bribe for Borewell drilling in Bangalore
                    ","Paid INR 3,700
                        ","Water and Sewage","Water Connection under Sajala","67 views","Bangalore
                      , Karnataka","November 03, 2015",4
"39","
                      I Paid Rs. 111 to Municipal Services in Abohar.
                    ","Paid INR 111
                        ","Municipal Services","Birth Certificate","61 views","Abohar
                      , Punjab","November 03, 2015",4
"40","
                      I Paid Rs. 1 to Municipal Services in Mumbai.
                    ","Paid INR 1
                        ","Municipal Services","Birth Certificate","57 views","Mumbai
                      , Maharashtra","November 03, 2015",4
"41","
                      I Paid Rs. 5000 to Police in Thane.
                    ","Paid INR 5,000
                        ","Police","Filing FIR","79 views","Thane
                      , Maharashtra","November 03, 2015",5
"42","
                      I Paid Rs. 500 to Municipal Services in Lucknow.
                    ","Paid INR 500
                        ","Municipal Services","Birth Certificate","61 views","Lucknow
                      , Uttar Pradesh","November 03, 2015",5
"43","
                      I Paid Rs. 100 to Municipal Services in Mumbai.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","59 views","Mumbai
                      , Maharashtra","November 03, 2015",5
"44","
                      I Paid Rs. 1000 to Police in Hazaribagh.
                    ","Paid INR 1,000
                        ","Police","Traffic Violations","76 views","Hazaribagh
                      , Jharkhand","November 03, 2015",5
"45","
                      I Paid Rs. 50000 to Food, Civil Supplies and Consumer Affairs in Abohar.
                    ","Paid INR 50,000
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","83 views","Abohar
                      , Punjab","November 03, 2015",5
"46","
                      I Paid Rs. 500000 to Commercial Tax, Sales Tax, VAT in Kolkata.
                    ","Paid INR 5,00,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","126 views","Kolkata
                      , West Bengal","November 03, 2015",5
"47","
                      Bribe for passport verification
                    ","Paid INR 200
                        ","Police","Police Verification for Passport","152 views","Bangalore
                      , Karnataka","November 02, 2015",5
"48","
                      I Paid Rs. 2 to Police in Adari.
                    ","Paid INR 2
                        ","Police","Filing FIR","156 views","Adari
                      , Uttar Pradesh","November 02, 2015",5
"49","
                      I Paid Rs. 10000 to Railways in Chandigarh.
                    ","Paid INR 10,000
                        ","Railways","Transport of Goods","182 views","Chandigarh
                      , Chandigarh","November 02, 2015",5
"50","
                      Asked bribe at the heart of Delhi by traffic police
                    ","Paid INR 600
                        ","Police","Traffic Violations","272 views","New Delhi
                      , Delhi","November 02, 2015",5
"51","
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Durgapur.
                    ","Paid INR 100
                        ","Commercial Tax, Sales Tax, VAT","C Form","164 views","Durgapur
                      , West Bengal","November 02, 2015",6
"52","
                      I Paid Rs. 20 to Others in Pune.
                    ","Paid INR 20
                        ","Others","Others","165 views","Pune
                      , Maharashtra","November 02, 2015",6
"53","
                      I Paid Rs. 1200 to Others in Mumbai.
                    ","Paid INR 1,200
                        ","Others","Others","159 views","Mumbai
                      , Maharashtra","November 02, 2015",6
"54","
                      I Paid Rs. 100 to Municipal Services in Itanagar.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","145 views","Itanagar
                      , Arunachal Pradesh","November 02, 2015",6
"55","
                      I Paid Rs. 464001 to Municipal Services in Vidisha.
                    ","Paid INR 4,64,001
                        ","Municipal Services","Birth Certificate","151 views","Vidisha
                      , Madhya Pradesh","November 02, 2015",6
"56","
                      I Paid Rs. 120200 to Transport in Alipurduar.
                    ","Paid INR 1,20,200
                        ","Transport","Registration of Vehicle","194 views","Alipurduar
                      , West Bengal","November 02, 2015",6
"57","
                      I Paid Rs. 1200 to Municipal Services in Kochi.
                    ","Paid INR 1,200
                        ","Municipal Services","Birth Certificate","201 views","Kochi
                      , Kerala","November 02, 2015",6
"58","
                      I Paid Rs. 10000 to Police in Mahesana.
                    ","Paid INR 10,000
                        ","Police","Traffic Violations","196 views","Mahesana
                      , Gujarat","November 02, 2015",6
"59","
                      I Paid Rs. 200 to Income Tax in Pune.
                    ","Paid INR 200
                        ","Income Tax","New PAN Card","197 views","Pune
                      , Maharashtra","November 02, 2015",6
"60","
                      I Paid Rs. 20000 to Others in Hyderabad.
                    ","Paid INR 20,000
                        ","Others","Others","217 views","Hyderabad
                      , Telangana","November 02, 2015",6
"61","
                      I Paid Rs. 500 to Food, Civil Supplies and Consumer Affairs in Kolkata.
                    ","Paid INR 500
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","245 views","Kolkata
                      , West Bengal","November 02, 2015",7
"62","
                      I Paid Rs. 111 to Municipal Services in Chennai.
                    ","Paid INR 111
                        ","Municipal Services","Birth Certificate","233 views","Chennai
                      , Tamil Nadu","November 01, 2015",7
"63","
                      I Paid Rs. 200 to Municipal Services in Adilabad.
                    ","Paid INR 200
                        ","Municipal Services","Birth Certificate","198 views","Adilabad
                      , Telangana","November 01, 2015",7
"64","
                      I Paid Rs. 2000 to Income Tax in Abohar.
                    ","Paid INR 2,000
                        ","Income Tax","New PAN Card","207 views","Abohar
                      , Punjab","November 01, 2015",7
"65","
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Abohar.
                    ","Paid INR 100
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","184 views","Abohar
                      , Punjab","November 01, 2015",7
"66","
                      I Paid Rs. 345 to Municipal Services in Abhayapuri.
                    ","Paid INR 345
                        ","Municipal Services","Birth Certificate","172 views","Abhayapuri
                      , Assam","November 01, 2015",7
"67","
                      I Paid Rs. 33 to Municipal Services in Achhnera.
                    ","Paid INR 33
                        ","Municipal Services","Birth Certificate","161 views","Achhnera
                      , Uttar Pradesh","November 01, 2015",7
"68","
                      I Paid Rs. 524001 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Paid INR 5,24,001
                        ","Commercial Tax, Sales Tax, VAT","C Form","188 views","Abohar
                      , Punjab","November 01, 2015",7
"69","
                      I Paid Rs. 200 to Police in New Delhi.
                    ","Paid INR 200
                        ","Police","Traffic Violations","193 views","New Delhi
                      , Delhi","November 01, 2015",7
"70","
                      I Paid Rs. 1000 to Municipal Services in Mansa.
                    ","Paid INR 1,000
                        ","Municipal Services","Birth Certificate","161 views","Mansa
                      , Punjab","November 01, 2015",7
"71","
                      I Paid Rs. 108 to Income Tax in Rae Bareli.
                    ","Paid INR 108
                        ","Income Tax","New PAN Card","162 views","Rae Bareli
                      , Uttar Pradesh","November 01, 2015",8
"72","
                      I Paid Rs. 100 to Municipal Services in Dehradun.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","136 views","Dehradun
                      , Uttarakhand","November 01, 2015",8
"73","
                      I Paid Rs. 105 to Income Tax in Bhopal.
                    ","Paid INR 105
                        ","Income Tax","New PAN Card","127 views","Bhopal
                      , Madhya Pradesh","November 01, 2015",8
"74","
                      I Paid Rs. 100 to Others in Bahraich.
                    ","Paid INR 100
                        ","Others","Others","130 views","Bahraich
                      , Uttar Pradesh","November 01, 2015",8
"75","
                      I Paid Rs. 1000 to Passport in Kollam.
                    ","Paid INR 1,000
                        ","Passport","Police Verification for Passport","157 views","Kollam
                      , Kerala","November 01, 2015",8
"76","
                      I Paid Rs. 8120303241 to Municipal Services in Tikamgarh.
                    ","Paid INR 8,12,03,03,241
                        ","Municipal Services","Birth Certificate","127 views","Tikamgarh
                      , Madhya Pradesh","November 01, 2015",8
"77","
                      I Paid Rs. 12345 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Paid INR 12,345
                        ","Commercial Tax, Sales Tax, VAT","C Form","128 views","Abohar
                      , Punjab","November 01, 2015",8
"78","
                      I Paid Rs. 50 to Municipal Services in Imphal.
                    ","Paid INR 50
                        ","Municipal Services","Birth Certificate","110 views","Imphal
                      , Manipur","November 01, 2015",8
"79","
                      I Paid Rs. 100 to Municipal Services in Adari.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","92 views","Adari
                      , Uttar Pradesh","November 01, 2015",8
"80","
                      I Paid Rs. 10000 to Police in Kolar.
                    ","Paid INR 10,000
                        ","Police","Filing FIR","118 views","Kolar
                      , Karnataka","November 01, 2015",8
"81","
                      I Paid Rs. 4552 to Municipal Services in Achhnera.
                    ","Paid INR 4,552
                        ","Municipal Services","Birth Certificate","85 views","Achhnera
                      , Uttar Pradesh","November 01, 2015",9
"82","
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Achhnera.
                    ","Paid INR 100
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","96 views","Achhnera
                      , Uttar Pradesh","November 01, 2015",9
"83","
                      I paid Rs 300 to police conistable at his home in Tirupati
                    ","Paid INR 300
                        ","Passport","Police Clearance Certificate","119 views","Tirupati
                      , Andhra Pradesh","November 01, 2015",9
"84","
                      I Paid Rs. 100 to Municipal Services in Kolkata.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","89 views","Kolkata
                      , West Bengal","November 01, 2015",9
"85","
                      I Paid Rs. 1000 to Police in Bangalore.
                    ","Paid INR 1,000
                        ","Police","Filing FIR","146 views","Bangalore
                      , Karnataka","October 31, 2015",9
"86","
                      I Paid Rs. 1122 to Municipal Services in Jhalawar.
                    ","Paid INR 1,122
                        ","Municipal Services","Birth Certificate","114 views","Jhalawar
                      , Rajasthan","October 31, 2015",9
"87","
                      I Paid Rs. 600 to Municipal Services in Goalpara.
                    ","Paid INR 600
                        ","Municipal Services","Birth Certificate","133 views","Goalpara
                      , Assam","October 31, 2015",9
"88","
                      I Paid Rs. 400 to Others in Chittoor.
                    ","Paid INR 400
                        ","Others","Others","154 views","Chittoor
                      , Andhra Pradesh","October 31, 2015",9
"89","
                      Bribe for passport verification 
                    ","Paid INR 200
                        ","Police","Police Clearance Certificate","148 views","Mumbai
                      , Maharashtra","October 31, 2015",9
"90","
                      I Paid Rs. 1000 to Commercial Tax, Sales Tax, VAT in Gurgaon.
                    ","Paid INR 1,000
                        ","Commercial Tax, Sales Tax, VAT","C Form","130 views","Gurgaon
                      , Haryana","October 31, 2015",9
"91","
                      I Paid Rs. 100 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Paid INR 100
                        ","Commercial Tax, Sales Tax, VAT","C Form","116 views","Abohar
                      , Punjab","October 31, 2015",10
"92","
                      I Paid Rs. 500 to Customs, Excise and Service Tax in Abhayapuri.
                    ","Paid INR 500
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","123 views","Abhayapuri
                      , Assam","October 31, 2015",10
"93","
                      I Paid Rs. 200 to Income Tax in Bangalore.
                    ","Paid INR 200
                        ","Income Tax","New PAN Card","113 views","Bangalore
                      , Karnataka","October 31, 2015",10
"94","
                      I Paid Rs. 100000 to Municipal Services in Lucknow.
                    ","Paid INR 1,00,000
                        ","Municipal Services","Birth Certificate","90 views","Lucknow
                      , Uttar Pradesh","October 31, 2015",10
"95","
                      I Paid Rs. 500 to Passport in Anantapur.
                    ","Paid INR 500
                        ","Passport","Police Verification for Passport","119 views","Anantapur
                      , Andhra Pradesh","October 31, 2015",10
"96","
                      I Paid Rs. 50000 to Municipal Services in Mumbai.
                    ","Paid INR 50,000
                        ","Municipal Services","Birth Certificate","121 views","Mumbai
                      , Maharashtra","October 31, 2015",10
"97","
                      I Paid Rs. 13 to Municipal Services in Ahmedabad.
                    ","Paid INR 13
                        ","Municipal Services","Birth Certificate","100 views","Ahmedabad
                      , Gujarat","October 31, 2015",10
"98","
                      I Paid Rs. 100 to Customs, Excise and Service Tax in Gorakhpur.
                    ","Paid INR 100
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","115 views","Gorakhpur
                      , Uttar Pradesh","October 31, 2015",10
"99","
                      I Paid Rs. 10000 to Municipal Services in Bareilly.
                    ","Paid INR 10,000
                        ","Municipal Services","Birth Certificate","104 views","Bareilly
                      , Uttar Pradesh","October 31, 2015",10
"100","
                      I Paid Rs. 100 to Transport in Abohar.
                    ","Paid INR 100
                        ","Transport","Duplicate Registration Certificate","125 views","Abohar
                      , Punjab","October 31, 2015",10
"101","
                      I Paid Rs. 100 to Police in New Delhi.
                    ","Paid INR 100
                        ","Police","Traffic Violations","100 views","New Delhi
                      , Delhi","October 31, 2015",11
"102","
                      I Paid Rs. 210 to Municipal Services in Adari.
                    ","Paid INR 210
                        ","Municipal Services","Birth Certificate","88 views","Adari
                      , Uttar Pradesh","October 31, 2015",11
"103","
                      I Paid Rs. 100 to Food, Civil Supplies and Consumer Affairs in Chennai.
                    ","Paid INR 100
                        ","Food, Civil Supplies and Consumer Affairs","Issue of Ration Card","97 views","Chennai
                      , Tamil Nadu","October 31, 2015",11
"104","
                      I Paid Rs. 40 to Municipal Services in Nagpur.
                    ","Paid INR 40
                        ","Municipal Services","Birth Certificate","88 views","Nagpur
                      , Maharashtra","October 31, 2015",11
"105","
                      I Paid Rs. 10000 to Others in Hyderabad.
                    ","Paid INR 10,000
                        ","Others","Others","87 views","Hyderabad
                      , Telangana","October 31, 2015",11
"106","
                      I Paid Rs. 100 to Police in Akola.
                    ","Paid INR 100
                        ","Police","Traffic Violations","82 views","Akola
                      , Madhya Pradesh","October 31, 2015",11
"107","
                      I Paid Rs. 1 to Income Tax in Barabanki.
                    ","Paid INR 1
                        ","Income Tax","New PAN Card","87 views","Barabanki
                      , Uttar Pradesh","October 31, 2015",11
"108","
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Abhayapuri.
                    ","Paid INR 10
                        ","Commercial Tax, Sales Tax, VAT","C Form","83 views","Abhayapuri
                      , Assam","October 31, 2015",11
"109","
                      I Paid Rs. 25 to Municipal Services in Akola.
                    ","Paid INR 25
                        ","Municipal Services","Birth Certificate","70 views","Akola
                      , Madhya Pradesh","October 31, 2015",11
"110","
                      I Paid Rs. 5000 to Stamps and Registration in Pune.
                    ","Paid INR 5,000
                        ","Stamps and Registration","Registration of Flat or Apartment","123 views","Pune
                      , Maharashtra","October 31, 2015",11
"111","
                      I Paid Rs. 1 to Municipal Services in Bhubaneswar.
                    ","Paid INR 1
                        ","Municipal Services","Birth Certificate","76 views","Bhubaneswar
                      , Orissa","October 31, 2015",12
"112","
                      No way of getting out of this :(
                    ","Paid INR 10,000
                        ","Commercial Tax, Sales Tax, VAT","VAT Registration","133 views","New Delhi
                      , Delhi","October 31, 2015",12
"113","
                      I Paid Rs. 100 to Municipal Services in Abhayapuri.
                    ","Paid INR 100
                        ","Municipal Services","Birth Certificate","118 views","Abhayapuri
                      , Assam","October 31, 2015",12
"114","
                      I Paid Rs. 450 to Municipal Services in Abhayapuri.
                    ","Paid INR 450
                        ","Municipal Services","Birth Certificate","105 views","Abhayapuri
                      , Assam","October 31, 2015",12
"115","
                      I Paid Rs. 10 to Income Tax in Madurai.
                    ","Paid INR 10
                        ","Income Tax","New PAN Card","113 views","Madurai
                      , Tamil Nadu","October 31, 2015",12
"116","
                      I Paid Rs. 15 to Others in Kozhikode.
                    ","Paid INR 15
                        ","Others","Others","143 views","Kozhikode
                      , Kerala","October 30, 2015",12
"117","
                      I Paid Rs. 200 to Municipal Services in Gorakhpur.
                    ","Paid INR 200
                        ","Municipal Services","Birth Certificate","138 views","Gorakhpur
                      , Uttar Pradesh","October 30, 2015",12
"118","
                      I Paid Rs. 300 to Municipal Services in Achhnera.
                    ","Paid INR 300
                        ","Municipal Services","Birth Certificate","148 views","Achhnera
                      , Uttar Pradesh","October 30, 2015",12
"119","
                      I Paid Rs. 777 to Municipal Services in Thane.
                    ","Paid INR 777
                        ","Municipal Services","Birth Certificate","135 views","Thane
                      , Maharashtra","October 30, 2015",12
"120","
                      I Paid Rs. 100 to Passport in Pune.
                    ","Paid INR 100
                        ","Passport","Passport Delivery","167 views","Pune
                      , Maharashtra","October 30, 2015",12
"121","
                      I Paid Rs. 65 to Others in Amritsar.
                    ","Paid INR 65
                        ","Others","Others","138 views","Amritsar
                      , Punjab","October 30, 2015",13
"122","
                      I Paid Rs. 5000 to Municipal Services in Nashik.
                    ","Paid INR 5,000
                        ","Municipal Services","Birth Certificate","120 views","Nashik
                      , Maharashtra","October 30, 2015",13
"123","
                      I Paid Rs. 1995 to Municipal Services in Mangalore.
                    ","Paid INR 1,995
                        ","Municipal Services","Birth Certificate","117 views","Mangalore
                      , Karnataka","October 30, 2015",13
"124","
                      I Paid Rs. 200 to Municipal Services in Abhayapuri.
                    ","Paid INR 200
                        ","Municipal Services","Birth Certificate","109 views","Abhayapuri
                      , Assam","October 30, 2015",13
"125","
                      I Paid Rs. 272165 to Others in Gonda.
                    ","Paid INR 2,72,165
                        ","Others","Others","116 views","Gonda
                      , Uttar Pradesh","October 30, 2015",13
"126","
                      I Paid Rs. 33 to Commercial Tax, Sales Tax, VAT in Abohar.
                    ","Paid INR 33
                        ","Commercial Tax, Sales Tax, VAT","C Form","112 views","Abohar
                      , Punjab","October 30, 2015",13
"127","
                      I Paid Rs. 10 to Municipal Services in Jabalpur.
                    ","Paid INR 10
                        ","Municipal Services","Birth Certificate","112 views","Jabalpur
                      , Madhya Pradesh","October 30, 2015",13
"128","
                      I Paid Rs. 500 to Income Tax in Hingoli.
                    ","Paid INR 500
                        ","Income Tax","New PAN Card","115 views","Hingoli
                      , Maharashtra","October 30, 2015",13
"129","
                      I Paid Rs. 800 to Municipal Services in Achhnera.
                    ","Paid INR 800
                        ","Municipal Services","Birth Certificate","144 views","Achhnera
                      , Uttar Pradesh","October 30, 2015",13
"130","
                      I Paid Rs. 16000 to Municipal Services in Mumbai.
                    ","Paid INR 16,000
                        ","Municipal Services","Birth Certificate","161 views","Mumbai
                      , Maharashtra","October 29, 2015",13
"131","
                      I Paid Rs. 123 to Transport in New Delhi.
                    ","Paid INR 123
                        ","Transport","New Domestic Driving License","178 views","New Delhi
                      , Delhi","October 29, 2015",14
"132","
                      I Paid Rs. 5000 to Municipal Services in Abhayapuri.
                    ","Paid INR 5,000
                        ","Municipal Services","Birth Certificate","146 views","Abhayapuri
                      , Assam","October 29, 2015",14
"133","
                      I Paid Rs. 1000 to Municipal Services in Pimpri-Chinchwad.
                    ","Paid INR 1,000
                        ","Municipal Services","Birth Certificate","127 views","Pimpri-Chinchwad
                      , Maharashtra","October 29, 2015",14
"134","
                      I Paid Rs. 500 to Others in Ambattur.
                    ","Paid INR 500
                        ","Others","Others","145 views","Ambattur
                      , Tamil Nadu","October 29, 2015",14
"135","
                      I Paid Rs. 2000 to Others in Cooch Behar.
                    ","Paid INR 2,000
                        ","Others","Others","143 views","Cooch Behar
                      , West Bengal","October 29, 2015",14
"136","
                      I Paid Rs. 50 to Police in Surat.
                    ","Paid INR 50
                        ","Police","Traffic Violations","148 views","Surat
                      , Gujarat","October 29, 2015",14
"137","
                      I paid a bribe of Rs 5000 for Marriage  Registration
                    ","Paid INR 5,000
                        ","Stamps and Registration","Marriage Registration","262 views","Chennai
                      , Tamil Nadu","October 29, 2015",14
"138","
                      I Paid Rs. 123456 to Others in Katihar.
                    ","Paid INR 1,23,456
                        ","Others","Others","143 views","Katihar
                      , Bihar","October 29, 2015",14
"139","
                      I Paid Rs. 8 to Income Tax in Adilabad.
                    ","Paid INR 8
                        ","Income Tax","New PAN Card","168 views","Adilabad
                      , Telangana","October 29, 2015",14
"140","
                      Mr Harsh Chaturvedi, Inspector of Factory Act 1948, Moti Mahal Gwalior
                    ","Paid INR 5,000
                        ","Labour","Inspection of Office or Factories","172 views","Gwalior
                      , Madhya Pradesh","October 28, 2015",14
"141","
                      I Paid Rs. 1000 to Municipal Services in Thiruvananthapuram.
                    ","Paid INR 1,000
                        ","Municipal Services","Birth Certificate","181 views","Thiruvananthapuram
                      , Kerala","October 28, 2015",15
"142","
                      I paid 3000/- for getting DOB certificate
                    ","Paid INR 3,000
                        ","Municipal Services","Non Availability Certificate","186 views","Visakhapatnam
                      , Andhra Pradesh","October 28, 2015",15
"143","
                      I Paid Rs. 10 to Commercial Tax, Sales Tax, VAT in Cuddapah.
                    ","Paid INR 10
                        ","Commercial Tax, Sales Tax, VAT","C Form","188 views","Cuddapah
                      , Andhra Pradesh","October 28, 2015",15
"144","
                      I Paid Rs. 10000 to Others in Guwahati.
                    ","Paid INR 10,000
                        ","Others","Others","176 views","Guwahati
                      , Assam","October 28, 2015",15
"145","
                      I Paid Rs. 1200 to Others in Sambalpur.
                    ","Paid INR 1,200
                        ","Others","Others","168 views","Sambalpur
                      , Orissa","October 28, 2015",15
"146","
                      I Paid Rs. 1000 to Customs, Excise and Service Tax in Kochi.
                    ","Paid INR 1,000
                        ","Customs, Excise and Service Tax","Customs Check and Clearance","193 views","Kochi
                      , Kerala","October 28, 2015",15
"147","
                      I Paid Rs. 5000 to Municipal Services in Amarpur.
                    ","Paid INR 5,000
                        ","Municipal Services","Birth Certificate","182 views","Amarpur
                      , Bihar","October 28, 2015",15
