"","hotel","rating","price","distance","page","star","ctry"
"1","City Nebo","
                
                73 / 100
                Vurdering
                                8556 Anmeldelser
            ","
        â€Ž700 kr
    ","
                0,5 km til Centrum
 ",1,2,1
"2","Saga Hotel","
                
                73 / 100
                Vurdering
                                4793 Anmeldelser
            ","
        â€Ž5.117 kr
    ","
                0,6 km til Centrum
 ",1,2,1
"3","Cabinn City","
                
                74 / 100
                Vurdering
                                10487 Anmeldelser
            ","
        â€Ž840 kr
    ","
                0,6 km til Centrum
 ",1,2,1
"4","Zleep Hotel Centrum","
                
                63 / 100
                Vurdering
                                2371 Anmeldelser
            ","
        â€Ž1.029 kr
    ","
                0,7 km til Centrum
 ",1,2,1
"5","Wakeup Copenhagen ","
                
                77 / 100
                Vurdering
                                13008 Anmeldelser
            ","
        â€Ž1.650 kr
    ","
                0,9 km til Centrum
 ",1,2,1
"6","Generator Hostel Copenhagen","
                
                83 / 100
                Vurdering
                                13026 Anmeldelser
            ","
        â€Ž2.696 kr
    ","
                1,2 km til Centrum
 ",1,2,1
"7","Wakeup Copenhagen Borgergade","
                
                81 / 100
                Vurdering
                                8795 Anmeldelser
            ","
        â€Ž1.150 kr
    ","
                1,2 km til Centrum
 ",1,2,1
"8","Hotel Copenhagen","
                
                71 / 100
                Vurdering
                                2494 Anmeldelser
            ","
        â€Ž662 kr
    ","
                1,4 km til Centrum
 ",1,2,1
"9","Cabinn Metro","
                
                66 / 100
                Vurdering
                                10614 Anmeldelser
            ","
        â€Ž840 kr
    ","
                5,0 km til Centrum
 ",1,2,1
"10","Copenhagen Go ","
                
                68 / 100
                Vurdering
                                6391 Anmeldelser
            ","
        â€Ž515 kr
    ","
                5,7 km til KÃ¸benhavn
 ",1,2,1
"11","Copenhagen Downtown Hostel","
                
                82 / 100
                Vurdering
                                8333 Anmeldelser
            ","
        â€Ž979 kr
    ","
                0,4 km til Centrum
 ",1,3,1
"12","First Excelsior ex Comfort Excelsior","
                
                72 / 100
                Vurdering
                                1677 Anmeldelser
            ","
        â€Ž22.505 kr
    ","
                0,6 km til Centrum
 ",1,3,1
"13","Du Nord","
                
                76 / 100
                Vurdering
                                6275 Anmeldelser
            ","
        â€Ž1.600 kr
    ","
                0,6 km til Centrum
 ",1,3,1
"14","Copenhagen Star","
                
                69 / 100
                Vurdering
                                7987 Anmeldelser
            ","
        â€Ž5.883 kr
    ","
                0,6 km til Centrum
 ",1,3,1
"15","Best Western Hebron","
                
                80 / 100
                Vurdering
                                3287 Anmeldelser
            ","
        â€Ž1.828 kr
    ","
                0,6 km til Centrum
 ",1,3,1
"16","Andersen","
                
                85 / 100
                Vurdering
                                3105 Anmeldelser
            ","
        â€Ž1.458 kr
    ","
                0,7 km til Centrum
 ",1,3,1
"17","Ansgar","
                
                75 / 100
                Vurdering
                                5981 Anmeldelser
            ","
        â€Ž1.822 kr
    ","
                0,7 km til Centrum
 ",1,3,1
"18","Tiffany","
                
                80 / 100
                Vurdering
                                1719 Anmeldelser
            ","
        â€Ž1.395 kr
    ","
                0,7 km til Centrum
 ",1,3,1
"19","DGI- Byens","
                
                72 / 100
                Vurdering
                                3901 Anmeldelser
            ","
        â€Ž1.553 kr
    ","
                0,7 km til Centrum
 ",1,3,1
"20","Viktoria","
                
                56 / 100
                Vurdering
                                1029 Anmeldelser
            ","
        â€Ž1.499 kr
    ","
                0,8 km til Centrum
 ",1,3,1
"21","Savoy","
                
                78 / 100
                Vurdering
                                3529 Anmeldelser
            ","
        â€Ž1.391 kr
    ","
                0,8 km til Centrum
 ",1,3,1
"22","Copenhagen Crown","
                
                71 / 100
                Vurdering
                                2963 Anmeldelser
            ","
        â€Ž1.796 kr
    ","
                0,8 km til Centrum
 ",1,3,1
"23","CPH Living","
                
                86 / 100
                Vurdering
                                1065 Anmeldelser
            ","
        â€Ž1.460 kr
    ","
                1,0 km til Centrum
 ",1,3,1
"24","Cabinn Express","
                
                71 / 100
                Vurdering
                                1084 Anmeldelser
            ","
        â€Ž842 kr
    ","
                1,2 km til Centrum
 ",1,3,1
"25","Best Western City","
                
                79 / 100
                Vurdering
                                5024 Anmeldelser
            ","
        â€Ž2.696 kr
    ","
                1,3 km til Centrum
 ",1,3,1
"26","Christian IV","
                
                77 / 100
                Vurdering
                                2052 Anmeldelser
            ","
        â€Ž1.430 kr
    ","
                1,3 km til Centrum
 ",1,3,1
"27","Maritime","
                
                71 / 100
                Vurdering
                                3873 Anmeldelser
            ","
        â€Ž1.990 kr
    ","
                1,3 km til Centrum
 ",1,3,1
"28","Copenhagen Strand","
                
                79 / 100
                Vurdering
                                5619 Anmeldelser
            ","
        â€Ž1.596 kr
    ","
                1,4 km til Centrum
 ",1,3,1
"29","Bertrams - Hotel Guldsmeden","
                
                81 / 100
                Vurdering
                                975 Anmeldelser
            ","
        â€Ž2.900 kr
    ","
                1,5 km til Centrum
 ",1,3,1
"30","Babette Guldsmeden","
                
                77 / 100
                Vurdering
                                2798 Anmeldelser
            ","
        â€Ž1.895 kr
    ","
                2,0 km til Centrum
 ",1,3,1
"31","Hotel Ã˜sterport","
                
                65 / 100
                Vurdering
                                3858 Anmeldelser
            ","
        â€Ž2.277 kr
    ","
                2,1 km til Centrum
 ",1,3,1
"32","Zleep Copenhagen Airport","
                
                69 / 100
                Vurdering
                                364 Anmeldelser
            ","
        â€Ž1.599 kr
    ","
                6,6 km til KÃ¸benhavn
 ",1,3,1
"33","Scandic Hvidovre","
                
                69 / 100
                Vurdering
                                1732 Anmeldelser
            ","
        â€Ž1.436 kr
    ","
                7,6 km til KÃ¸benhavn
 ",1,3,1
"34","Gentofte","
                
                78 / 100
                Vurdering
                                2453 Anmeldelser
            ","
        â€Ž1.568 kr
    ","
                8,2 km til KÃ¸benhavn
 ",1,3,1
"35","Skovshoved","
                
                80 / 100
                Vurdering
                                321 Anmeldelser
            ","
        â€Ž1.500 kr
    ","
                9,4 km til KÃ¸benhavn
 ",1,3,1
"36","Scandic Glostrup","
                
                68 / 100
                Vurdering
                                879 Anmeldelser
            ","
        â€Ž1.526 kr
    ","
                9,4 km til KÃ¸benhavn
 ",2,3,1
"37","HerlÃ¸v Kro","
                
                78 / 100
                Vurdering
                                507 Anmeldelser
            ","
        â€Ž895 kr
    ","
                9,7 km til KÃ¸benhavn
 ",2,3,1
"38","The Square","
                
                76 / 100
                Vurdering
                                7508 Anmeldelser
            ","
        â€Ž2.996 kr
    ","
                0,1 km til Centrum
 ",1,4,1
"39","Ascot","
                
                73 / 100
                Vurdering
                                11658 Anmeldelser
            ","
        â€Ž2.258 kr
    ","
                0,2 km til Centrum
 ",1,4,1
"40","Copenhagen Plaza","
                
                74 / 100
                Vurdering
                                6456 Anmeldelser
            ","
        â€Ž5.001 kr
    ","
                0,3 km til Centrum
 ",1,4,1
"41","Imperial","
                
                76 / 100
                Vurdering
                                5602 Anmeldelser
            ","
        â€Ž5.940 kr
    ","
                0,4 km til Centrum
 ",1,4,1
"42","Clarion Collection Mayfair","
                
                80 / 100
                Vurdering
                                4087 Anmeldelser
            ","
        â€Ž2.924 kr
    ","
                0,5 km til Centrum
 ",1,4,1
"43","Absalon","
                
                80 / 100
                Vurdering
                                120 Anmeldelser
            ","
        â€Ž5.335 kr
    ","
                0,7 km til Centrum
 ",1,4,1
"44","Phoenix Copenhagen","
                
                77 / 100
                Vurdering
                                4606 Anmeldelser
            ","
        â€Ž2.311 kr
    ","
                1,5 km til Centrum
 ",1,4,1
"45","Hotel Neptun","
                
                72 / 100
                Vurdering
                                4860 Anmeldelser
            ","
        â€Ž1.995 kr
    ","
                1,6 km til Centrum
 ",1,4,1
"46","Copenhagen Admiral","
                
                83 / 100
                Vurdering
                                11403 Anmeldelser
            ","
        â€Ž3.162 kr
    ","
                1,7 km til Centrum
 ",1,4,1
"47","Stay Copenhagen","
                
                87 / 100
                Vurdering
                                1344 Anmeldelser
            ","
        â€Ž2.501 kr
    ","
                2,1 km til Centrum
 ",1,4,1
"48","Adina Apartment Copenhagen","
                
                84 / 100
                Vurdering
                                4365 Anmeldelser
            ","
        â€Ž2.463 kr
    ","
                2,9 km til Centrum
 ",1,4,1
"49","Scandic Sydhavnen","
                
                73 / 100
                Vurdering
                                2134 Anmeldelser
            ","
        â€Ž2.808 kr
    ","
                2,9 km til Centrum
 ",1,4,1
"50","Quality Airport Dan","
                
                74 / 100
                Vurdering
                                4098 Anmeldelser
            ","
        â€Ž1.067 kr
    ","
                6,4 km til KÃ¸benhavn
 ",1,4,1
"51","Hellerup Parkhotel","
                
                73 / 100
                Vurdering
                                831 Anmeldelser
            ","
        â€Ž1.295 kr
    ","
                6,8 km til KÃ¸benhavn
 ",1,4,1
"52","Glostrup Park","
                
                77 / 100
                Vurdering
                                2868 Anmeldelser
            ","
        â€Ž945 kr
    ","
                10,0 km til KÃ¸benhavn
 ",1,4,1
"53","Radisson Blu Royal","
                
                83 / 100
                Vurdering
                                5593 Anmeldelser
            ","
        â€Ž4.196 kr
    ","
                0,3 km til Centrum
 ",1,5,1
"54","Nimb","
                
                90 / 100
                Vurdering
                                421 Anmeldelser
            ","
        â€Ž3.001 kr
    ","
                0,3 km til Centrum
 ",1,5,1
"55","Marriott Copenhagen","
                
                83 / 100
                Vurdering
                                6183 Anmeldelser
            ","
        â€Ž4.351 kr
    ","
                0,9 km til Centrum
 ",1,5,1
"56","Hilton Copenhagen Airport","
                
                88 / 100
                Vurdering
                                9254 Anmeldelser
            ","
        â€Ž2.496 kr
    ","
                7,2 km til Centrum
 ",1,5,1
"57","Strand Continental","
                
                66 / 100
                Vurdering
                                1872 Anmeldelser
            ","
        â€Ž802 kr
    ","
                0,8 km til Centrum
 ",1,2,2
"58","Marisa","
                
                54 / 100
                Vurdering
                                691 Anmeldelser
            ","
        â€Ž1.037 kr
    ","
                1,3 km til Centrum
 ",1,2,2
"59","Chester Victoria","
                
                60 / 100
                Vurdering
                                1589 Anmeldelser
            ","
        â€Ž1.551 kr
    ","
                1,9 km til Centrum
 ",1,2,2
"60","Park","
                
                51 / 100
                Vurdering
                                1199 Anmeldelser
            ","
        â€Ž1.122 kr
    ","
                2,0 km til Centrum
 ",1,2,2
"61","Blair Victoria & Tudor Inn","
                
                43 / 100
                Vurdering
                                3622 Anmeldelser
            ","
        â€Ž1.203 kr
    ","
                2,0 km til Centrum
 ",1,2,2
"62","Fitzroy","
                
                57 / 100
                Vurdering
                                1170 Anmeldelser
            ","
        â€Ž920 kr
    ","
                2,0 km til Centrum
 ",1,2,2
"63","Guilford","
                
                57 / 100
                Vurdering
                                1151 Anmeldelser
            ","
        â€Ž1.611 kr
    ","
                2,0 km til Centrum
 ",1,2,2
"64","Imperial County","
                
                65 / 100
                Vurdering
                                824 Anmeldelser
            ","
        â€Ž864 kr
    ","
                2,1 km til Centrum
 ",1,2,2
"65","Caswell","
                
                61 / 100
                Vurdering
                                1422 Anmeldelser
            ","
        â€Ž838 kr
    ","
                2,1 km til Centrum
 ",1,2,2
"66","PubLove at the Exmouth Arms","
                
                78 / 100
                Vurdering
                                1410 Anmeldelser
            ","
        â€Ž1.350 kr
    ","
                2,4 km til Centrum
 ",1,2,2
"67","The Apollo","
                
                72 / 100
                Vurdering
                                742 Anmeldelser
            ","
        â€Ž1.039 kr
    ","
                2,4 km til Centrum
 ",1,2,2
"68","Melville","
                
                70 / 100
                Vurdering
                                1065 Anmeldelser
            ","
        â€Ž914 kr
    ","
                2,4 km til Centrum
 ",1,2,2
"69","Elmwood","
                
                59 / 100
                Vurdering
                                2965 Anmeldelser
            ","
        â€Ž931 kr
    ","
                2,5 km til Centrum
 ",1,2,2
"70","Boston Court","
                
                55 / 100
                Vurdering
                                782 Anmeldelser
            ","
        â€Ž1.452 kr
    ","
                2,5 km til Centrum
 ",1,2,2
"71","Arriva","
                
                62 / 100
                Vurdering
                                4167 Anmeldelser
            ","
        â€Ž881 kr
    ","
                2,5 km til Centrum
 ",1,2,2
"72","Marble Arch Inn","
                
                65 / 100
                Vurdering
                                1978 Anmeldelser
            ","
        â€Ž1.246 kr
    ","
                2,5 km til Centrum
 ",1,2,2
"73","Clink78","
                
                76 / 100
                Vurdering
                                12979 Anmeldelser
            ","
        â€Ž931 kr
    ","
                2,5 km til Centrum
 ",1,2,2
"74","Swinton","
                
                68 / 100
                Vurdering
                                6251 Anmeldelser
            ","
        â€Ž1.230 kr
    ","
                2,6 km til Centrum
 ",1,2,2
"75","London Full House","
                
                70 / 100
                Vurdering
                                725 Anmeldelser
            ","
        â€Ž1.028 kr
    ","
                2,7 km til Centrum
 ",1,2,2
"76","Somerset","
                
                58 / 100
                Vurdering
                                1808 Anmeldelser
            ","
        â€Ž1.349 kr
    ","
                2,9 km til Centrum
 ",1,2,2
"77","Four Stars","
                
                54 / 100
                Vurdering
                                208 Anmeldelser
            ","
        â€Ž1.084 kr
    ","
                3,1 km til Centrum
 ",1,2,2
"78","London Kings","
                
                81 / 100
                Vurdering
                                1024 Anmeldelser
            ","
        â€Ž1.311 kr
    ","
                3,1 km til Centrum
 ",1,2,2
"79","ABC Hyde Park","
                
                69 / 100
                Vurdering
                                1458 Anmeldelser
            ","
        â€Ž1.241 kr
    ","
                3,2 km til Centrum
 ",1,2,2
"80","The Seymour","
                
                59 / 100
                Vurdering
                                1131 Anmeldelser
            ","
        â€Ž902 kr
    ","
                3,2 km til Centrum
 ",1,2,2
"81","Columbus","
                
                76 / 100
                Vurdering
                                1272 Anmeldelser
            ","
        â€Ž1.541 kr
    ","
                3,2 km til Centrum
 ",1,2,2
"82","Best Western The Delmere","
                
                77 / 100
                Vurdering
                                1325 Anmeldelser
            ","
        â€Ž1.767 kr
    ","
                3,2 km til Centrum
 ",2,2,2
"83","Adare","
                
                61 / 100
                Vurdering
                                1277 Anmeldelser
            ","
        â€Ž1.350 kr
    ","
                3,2 km til Centrum
 ",2,2,2
"84","Springfield","
                
                59 / 100
                Vurdering
                                1330 Anmeldelser
            ","
        â€Ž1.163 kr
    ","
                3,3 km til Centrum
 ",2,2,2
"85","Hyde Park Court","
                
                55 / 100
                Vurdering
                                1329 Anmeldelser
            ","
        â€Ž981 kr
    ","
                3,3 km til Centrum
 ",2,2,2
"86","Avon","
                
                65 / 100
                Vurdering
                                1284 Anmeldelser
            ","
        â€Ž1.270 kr
    ","
                3,3 km til Centrum
 ",2,2,2
"87","Ashley","
                
                63 / 100
                Vurdering
                                2643 Anmeldelser
            ","
        â€Ž972 kr
    ","
                3,3 km til Centrum
 ",2,2,2
"88","Rhodes","
                
                78 / 100
                Vurdering
                                2764 Anmeldelser
            ","
        â€Ž1.499 kr
    ","
                3,3 km til Centrum
 ",2,2,2
"89","Shakespeare","
                
                64 / 100
                Vurdering
                                938 Anmeldelser
            ","
        â€Ž853 kr
    ","
                3,3 km til Centrum
 ",2,2,2
"90","Dolphin","
                
                63 / 100
                Vurdering
                                783 Anmeldelser
            ","
        â€Ž853 kr
    ","
                3,3 km til Centrum
 ",2,2,2
"91","Edward","
                
                67 / 100
                Vurdering
                                3221 Anmeldelser
            ","
        â€Ž1.757 kr
    ","
                3,4 km til Centrum
 ",2,2,2
"92","Lancaster Court","
                
                56 / 100
                Vurdering
                                2926 Anmeldelser
            ","
        â€Ž1.448 kr
    ","
                3,4 km til Centrum
 ",2,2,2
"93","Prince William","
                
                63 / 100
                Vurdering
                                4601 Anmeldelser
            ","
        â€Ž1.272 kr
    ","
                3,6 km til Centrum
 ",2,2,2
"94","The Brompton","
                
                62 / 100
                Vurdering
                                1473 Anmeldelser
            ","
        â€Ž1.230 kr
    ","
                3,6 km til Centrum
 ",2,2,2
"95","Caring","
                
                77 / 100
                Vurdering
                                2121 Anmeldelser
            ","
        â€Ž807 kr
    ","
                3,8 km til Centrum
 ",2,2,2
"96","ibis London City","
                
                80 / 100
                Vurdering
                                8519 Anmeldelser
            ","
        â€Ž1.132 kr
    ","
                3,9 km til Centrum
 ",2,2,2
"97","Kings","
                
                56 / 100
                Vurdering
                                1619 Anmeldelser
            ","
        â€Ž1.428 kr
    ","
                4,0 km til Centrum
 ",2,2,2
"98","Chelsea Guest House","
                
                74 / 100
                Vurdering
                                2056 Anmeldelser
            ","
        â€Ž878 kr
    ","
                4,1 km til Centrum
 ",2,2,2
"99","Whiteleaf","
                
                53 / 100
                Vurdering
                                1590 Anmeldelser
            ","
        â€Ž1.293 kr
    ","
                4,1 km til Centrum
 ",2,2,2
"100","New Dawn","
                
                50 / 100
                Vurdering
                                499 Anmeldelser
            ","
        â€Ž875 kr
    ","
                4,2 km til Centrum
 ",2,2,2
"101","TOP Kensington Gardens","
                
                79 / 100
                Vurdering
                                986 Anmeldelser
            ","
        â€Ž1.051 kr
    ","
                4,4 km til Centrum
 ",2,2,2
"102","Saint Simeon","
                
                66 / 100
                Vurdering
                                2034 Anmeldelser
            ","
        â€Ž1.314 kr
    ","
                4,4 km til Centrum
 ",2,2,2
"103","Cromwell Crown","
                
                61 / 100
                Vurdering
                                4603 Anmeldelser
            ","
        â€Ž2.777 kr
    ","
                4,4 km til Centrum
 ",2,2,2
"104","Camden Lock","
                
                76 / 100
                Vurdering
                                917 Anmeldelser
            ","
        â€Ž1.189 kr
    ","
                4,4 km til Centrum
 ",2,2,2
"105","Lords","
                
                60 / 100
                Vurdering
                                1478 Anmeldelser
            ","
        â€Ž1.366 kr
    ","
                4,5 km til Centrum
 ",2,2,2
"106","Westbury Kensington","
                
                67 / 100
                Vurdering
                                2984 Anmeldelser
            ","
        â€Ž884 kr
    ","
                4,6 km til Centrum
 ",2,2,2
"107","The Palace Court","
                
                55 / 100
                Vurdering
                                3117 Anmeldelser
            ","
        â€Ž4.001 kr
    ","
                4,6 km til Centrum
 ",3,2,2
"108","New Dome","
                
                61 / 100
                Vurdering
                                594 Anmeldelser
            ","
        â€Ž724 kr
    ","
                4,6 km til Centrum
 ",3,2,2
"109","Oliver","
                
                62 / 100
                Vurdering
                                1327 Anmeldelser
            ","
        â€Ž1.153 kr
    ","
                4,8 km til Centrum
 ",3,2,2
"110","Regency Court","
                
                49 / 100
                Vurdering
                                262 Anmeldelser
            ","
        â€Ž935 kr
    ","
                4,9 km til Centrum
 ",3,2,2
"111","Primrose Guesthouse","
                
                80 / 100
                Vurdering
                                396 Anmeldelser
            ","
        â€Ž1.241 kr
    ","
                5,0 km til Centrum
 ",3,2,2
"112","Earls Court","
                
                62 / 100
                Vurdering
                                850 Anmeldelser
            ","
        â€Ž779 kr
    ","
                5,0 km til Centrum
 ",3,2,2
"113","Boka","
                
                63 / 100
                Vurdering
                                1785 Anmeldelser
            ","
        â€Ž1.350 kr
    ","
                5,1 km til Centrum
 ",3,2,2
"114","Earls Court Studios","
                
                80 / 100
                Vurdering
                                1348 Anmeldelser
            ","
        â€Ž1.137 kr
    ","
                5,1 km til Centrum
 ",3,2,2
"115","Garden View","
                
                71 / 100
                Vurdering
                                5693 Anmeldelser
            ","
        â€Ž1.203 kr
    ","
                5,1 km til Centrum
 ",3,2,2
"116","The Castle Bar","
                
                77 / 100
                Vurdering
                                599 Anmeldelser
            ","
        â€Ž1.004 kr
    ","
                5,1 km til Centrum
 ",3,2,2
"117","Sara","
                
                68 / 100
                Vurdering
                                1002 Anmeldelser
            ","
        â€Ž1.489 kr
    ","
                5,2 km til Centrum
 ",3,2,2
"118","Peckham Lodge","
                
                63 / 100
                Vurdering
                                7404 Anmeldelser
            ","
        â€Ž569 kr
    ","
                5,2 km til Centrum
 ",3,2,2
"119","Ravna Gora","
                
                52 / 100
                Vurdering
                                1807 Anmeldelser
            ","
        â€Ž1.198 kr
    ","
                5,3 km til Centrum
 ",3,2,2
"120","Queens","
                
                58 / 100
                Vurdering
                                1754 Anmeldelser
            ","
        â€Ž877 kr
    ","
                5,3 km til Centrum
 ",3,2,2
"121","Charlies","
                
                59 / 100
                Vurdering
                                929 Anmeldelser
            ","
        â€Ž1.168 kr
    ","
                5,3 km til Centrum
 ",3,2,2
"122","Lily","
                
                54 / 100
                Vurdering
                                4338 Anmeldelser
            ","
        â€Ž1.091 kr
    ","
                5,4 km til Centrum
 ",3,2,2
"123","Palmers Lodge Swiss Cottage","
                
                83 / 100
                Vurdering
                                16745 Anmeldelser
            ","
        â€Ž763 kr
    ","
                5,4 km til Centrum
 ",3,2,2
"124","Welby 37","
                
                74 / 100
                Vurdering
                                334 Anmeldelser
            ","
        â€Ž808 kr
    ","
                5,5 km til Centrum
 ",3,2,2
"125","Kensington West","
                
                67 / 100
                Vurdering
                                1669 Anmeldelser
            ","
        â€Ž997 kr
    ","
                5,6 km til Centrum
 ",3,2,2
"126","Holland Inn","
                
                51 / 100
                Vurdering
                                1661 Anmeldelser
            ","
        â€Ž904 kr
    ","
                5,7 km til Centrum
 ",3,2,2
"127","Euro Clapham","
                
                57 / 100
                Vurdering
                                2450 Anmeldelser
            ","
        â€Ž579 kr
    ","
                5,8 km til Centrum
 ",3,2,2
"128","City Inn Express","
                
                60 / 100
                Vurdering
                                557 Anmeldelser
            ","
        â€Ž672 kr
    ","
                6,1 km til Centrum
 ",3,2,2
"129","ibis London Shepherds Bush","
                
                86 / 100
                Vurdering
                                3720 Anmeldelser
            ","
        â€Ž1.117 kr
    ","
                6,4 km til Centrum
 ",3,2,2
"130","Black Lion Guesthouse","
                
                73 / 100
                Vurdering
                                707 Anmeldelser
            ","
        â€Ž1.551 kr
    ","
                6,4 km til Centrum
 ",3,2,2
"131","Plaza Hammersmith","
                
                54 / 100
                Vurdering
                                901 Anmeldelser
            ","
        â€Ž1.233 kr
    ","
                6,6 km til Centrum
 ",3,2,2
"132","Balkan","
                
                60 / 100
                Vurdering
                                662 Anmeldelser
            ","
        â€Ž805 kr
    ","
                6,6 km til Centrum
 ",4,2,2
"133","Pembury","
                
                66 / 100
                Vurdering
                                2317 Anmeldelser
            ","
        â€Ž917 kr
    ","
                6,8 km til Centrum
 ",4,2,2
"134","Adria","
                
                79 / 100
                Vurdering
                                1794 Anmeldelser
            ","
        â€Ž1.058 kr
    ","
                7,1 km til Centrum
 ",4,2,2
"135","Aviva Studio Apartments","
                
                89 / 100
                Vurdering
                                920 Anmeldelser
            ","
        â€Ž1.379 kr
    ","
                7,2 km til Centrum
 ",4,2,2
"136","Majestic","
                
                54 / 100
                Vurdering
                                217 Anmeldelser
            ","
        â€Ž2.048 kr
    ","
                7,2 km til Centrum
 ",4,2,2
"137","Hostel 639","
                
                51 / 100
                Vurdering
                                4872 Anmeldelser
            ","
        â€Ž671 kr
    ","
                7,3 km til Centrum
 ",4,2,2
"138","Palmers Lodge Hillspring","
                
                81 / 100
                Vurdering
                                7555 Anmeldelser
            ","
        â€Ž712 kr
    ","
                7,7 km til Centrum
 ",4,2,2
"139","Leigham Court","
                
                75 / 100
                Vurdering
                                1035 Anmeldelser
            ","
        â€Ž839 kr
    ","
                8,0 km til Centrum
 ",4,2,2
"140","Five Kings","
                
                64 / 100
                Vurdering
                                420 Anmeldelser
            ","
        â€Ž883 kr
    ","
                8,1 km til Centrum
 ",4,2,2
"141","ibis London Docklands Canary Wharf","
                
                79 / 100
                Vurdering
                                2415 Anmeldelser
            ","
        â€Ž962 kr
    ","
                8,4 km til Centrum
 ",4,2,2
"142","Cricklewood Lodge","
                
                77 / 100
                Vurdering
                                721 Anmeldelser
            ","
        â€Ž727 kr
    ","
                8,6 km til Centrum
 ",4,2,2
"143","London Apartments  Romford","
                
                67 / 100
                Vurdering
                                292 Anmeldelser
            ","
        â€Ž569 kr
    ","
                8,8 km til London
 ",4,2,2
"144","Central","
                
                63 / 100
                Vurdering
                                519 Anmeldelser
            ","
        â€Ž879 kr
    ","
                9,0 km til Centrum
 ",4,2,2
"145","Metro House","
                
                77 / 100
                Vurdering
                                495 Anmeldelser
            ","
        â€Ž516 kr
    ","
                9,1 km til Centrum
 ",4,2,2
"146","King Solomon","
                
                55 / 100
                Vurdering
                                2198 Anmeldelser
            ","
        â€Ž640 kr
    ","
                9,2 km til Centrum
 ",4,2,2
"147","The Fountain","
                
                72 / 100
                Vurdering
                                590 Anmeldelser
            ","
        â€Ž800 kr
    ","
                9,3 km til Centrum
 ",4,2,2
"148","National","
                
                61 / 100
                Vurdering
                                685 Anmeldelser
            ","
        â€Ž671 kr
    ","
                9,4 km til Centrum
 ",4,2,2
"149","Hollingbury","
                
                54 / 100
                Vurdering
                                1026 Anmeldelser
            ","
        â€Ž514 kr
    ","
                9,5 km til Centrum
 ",4,2,2
"150","ibis London Stratford","
                
                76 / 100
                Vurdering
                                2311 Anmeldelser
            ","
        â€Ž879 kr
    ","
                9,9 km til Centrum
 ",4,2,2
"151","The Z  Piccadilly","
                
                85 / 100
                Vurdering
                                6001 Anmeldelser
            ","
        â€Ž1.818 kr
    ","
                0,3 km til Centrum
 ",1,3,2
"152","Premier Inn London Leicester Square","
                
                85 / 100
                Vurdering
                                2799 Anmeldelser
            ","
        â€Ž3.064 kr
    ","
                0,5 km til Centrum
 ",1,3,2
"153","The Z Soho","
                
                81 / 100
                Vurdering
                                5112 Anmeldelser
            ","
        â€Ž1.942 kr
    ","
                0,7 km til Centrum
 ",1,3,2
"154","The Fielding","
                
                84 / 100
                Vurdering
                                1476 Anmeldelser
            ","
        â€Ž1.994 kr
    ","
                0,8 km til Centrum
 ",1,3,2
"155","The Sanctuary House","
                
                86 / 100
                Vurdering
                                2321 Anmeldelser
            ","
        â€Ž1.913 kr
    ","
                0,9 km til Centrum
 ",1,3,2
"156","St Giles Central London","
                
                72 / 100
                Vurdering
                                20579 Anmeldelser
            ","
        â€Ž1.318 kr
    ","
                1,1 km til Centrum
 ",1,3,2
"157","The Cheshire EX The Country Inn & Suites by Carlson","
                
                59 / 100
                Vurdering
                                1820 Anmeldelser
            ","
        â€Ž1.492 kr
    ","
                1,1 km til Centrum
 ",1,3,2
"158","The Wellington","
                
                78 / 100
                Vurdering
                                1277 Anmeldelser
            ","
        â€Ž1.954 kr
    ","
                1,2 km til Centrum
 ",1,3,2
"159","Grange Lancaster","
                
                75 / 100
                Vurdering
                                1516 Anmeldelser
            ","
        â€Ž1.104 kr
    ","
                1,4 km til Centrum
 ",1,3,2
"160","Staunton","
                
                80 / 100
                Vurdering
                                1432 Anmeldelser
            ","
        â€Ž2.129 kr
    ","
                1,4 km til Centrum
 ",1,3,2
"161","Lonsdale","
                
                47 / 100
                Vurdering
                                2176 Anmeldelser
            ","
        â€Ž934 kr
    ","
                1,5 km til Centrum
 ",1,3,2
"162","Hampton by Hilton London Waterloo","
                
                89 / 100
                Vurdering
                                7932 Anmeldelser
            ","
        â€Ž2.018 kr
    ","
                1,5 km til Centrum
 ",1,3,2
"163","Imperial Bedford","
                
                75 / 100
                Vurdering
                                1282 Anmeldelser
            ","
        â€Ž1.416 kr
    ","
                1,5 km til Centrum
 ",1,3,2
"164","Thistle Bloomsbury Park","
                
                76 / 100
                Vurdering
                                2042 Anmeldelser
            ","
        â€Ž1.677 kr
    ","
                1,5 km til Centrum
 ",1,3,2
"165","The Mad Hatter","
                
                83 / 100
                Vurdering
                                1967 Anmeldelser
            ","
        â€Ž2.099 kr
    ","
                1,6 km til Centrum
 ",1,3,2
"166","ibis London Blackfriars","
                
                85 / 100
                Vurdering
                                7341 Anmeldelser
            ","
        â€Ž1.230 kr
    ","
                1,6 km til Centrum
 ",1,3,2
"167","Days Waterloo","
                
                78 / 100
                Vurdering
                                7106 Anmeldelser
            ","
        â€Ž1.390 kr
    ","
                1,6 km til Centrum
 ",1,3,2
"168","Imperial President","
                
                69 / 100
                Vurdering
                                4229 Anmeldelser
            ","
        â€Ž1.294 kr
    ","
                1,7 km til Centrum
 ",1,3,2
"169","Imperial - Russell Square","
                
                71 / 100
                Vurdering
                                2465 Anmeldelser
            ","
        â€Ž1.540 kr
    ","
                1,7 km til Centrum
 ",1,3,2
